Package,LibPath,Version,Priority,Built
gh,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1,NA,3.5.2
gifski,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.6,NA,3.5.1
git2r,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.23.0,NA,3.5.2
globals,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.12.4,NA,3.5.1
glue,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.0,NA,3.5.2
gmodels,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.18.1,NA,3.5.2
gridExtra,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.3,NA,3.5.2
gtable,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.2
gtools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.8.1,NA,3.5.2
haven,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.0,NA,3.5.2
HDInterval,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.1
here,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1,NA,3.5.2
hexbin,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.27.2,NA,3.5.2
highr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.7,NA,3.5.2
Hmisc,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,4.1-1,NA,3.5.2
hms,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.2,NA,3.5.2
htmlTable,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.12,NA,3.5.2
htmltools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.6,NA,3.5.2
htmlwidgets,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3,NA,3.5.1
httpuv,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.5.1,NA,3.5.2
httr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.0,NA,3.5.2
igraph,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.2,NA,3.5.1
infer,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.0,NA,3.5.1
ini,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.2
inline,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.15,NA,3.5.2
janitor,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.1,NA,3.5.2
jsonlite,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.6,NA,3.5.2
khb,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1,NA,3.5.1
knitr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.21,NA,3.5.2
labeling,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3,NA,3.5.2
labelled,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.1,NA,3.5.2
LaplacesDemon,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,16.1.1,NA,3.5.1
later,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.7.5,NA,3.5.2
latticeExtra,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6-28,NA,3.5.2
lazyeval,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.1,NA,3.5.2
lme4,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1-19,NA,3.5.2
lmerTest,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.0-1,NA,3.5.2
lmtest,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9-36,NA,3.5.1
lobstr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1.9000,NA,3.5.2
loo,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.0,NA,3.5.1
lpSolve,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,5.6.13,NA,3.5.2
lsmeans,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.30-0,NA,3.5.1
lubridate,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.7.4,NA,3.5.2
magick,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0,NA,3.5.2
magrittr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.5,NA,3.5.2
mapproj,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.6,NA,3.5.1
maps,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.3.0,NA,3.5.2
maptools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9-4,NA,3.5.2
markdown,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9,NA,3.5.2
MatrixModels,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4-1,NA,3.5.2
matrixStats,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.54.0,NA,3.5.2
memoise,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.0,NA,3.5.2
microbenchmark,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4-6,NA,3.5.2
mime,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6,NA,3.5.2
miniCRAN,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.11,NA,3.5.1
miniUI,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.1.1,NA,3.5.2
minqa,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.4,NA,3.5.2
modelr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.2,NA,3.5.2
multcomp,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4-8,NA,3.5.1
multcompView,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1-7,NA,3.5.1
munsell,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.0,NA,3.5.2
naniar,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.1,NA,3.5.2
nleqslv,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.3.2,NA,3.5.0
nloptr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.1,NA,3.5.2
numDeriv,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2016.8-1,NA,3.5.2
odbc,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.6,NA,3.5.1
ompr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.0,NA,3.5.2
openssl,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1,NA,3.5.2
openxlsx,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,4.1.0,NA,3.5.2
pander,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6.3,NA,3.5.2
parsedate,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.3,NA,3.5.2
parsnip,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.1,NA,3.5.1
pbkrtest,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4-7,NA,3.5.2
pdftools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.8,NA,3.5.1
pillar,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.1.9000,NA,3.5.2
pkgbuild,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.2,NA,3.5.2
pkgconfig,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.2,NA,3.5.1
